Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2018-12-26,3809.52,3898.64,3727.17,3850.6
2018-12-27,3852.08,3877.47,3612.72,3632.4
2018-12-28,3632.4,3993.61,3610.11,3952.57
2018-12-31,3866.98,3888.02,3696.86,3728.56
2019-01-02,3766.48,3958.83,3766.48,3946.33
2019-01-03,3944.77,3965.11,3812.43,3840.25
2019-01-04,3840.25,3871.47,3773.58,3827.02
2019-01-07,4066.69,4110.15,3996.8,4033.88
2019-01-08,4032.26,4135.65,4003.2,4038.77
2019-01-09,4038.77,4076.64,4000,4030.63
2019-01-10,4030.63,4066.69,3616.64,3654.97
2019-01-11,3654.97,3699.59,3623.19,3681.89
2019-01-14,3531.07,3731.34,3526.09,3687.32
2019-01-15,3687.32,3713.33,3581.66,3599.71
2019-01-16,3601.01,3687.32,3595.83,3619.25
2019-01-17,3619.25,3667.03,3579.1,3656.31
2019-01-18,3654.97,3673.77,3604.9,3627.13
2019-01-21,3559.99,3570.15,3518.65,3544.84
2019-01-22,3546.1,3624.5,3447.09,3601.01
2019-01-23,3601.01,3627.13,3546.1,3573.98
2019-01-24,3575.26,3617.95,3548.62,3590.66
2019-01-25,3590.66,3606.2,3552.4,3575.26
2019-01-28,3561.25,3561.25,3402.52,3454.23
2019-01-29,3454.23,3465,3370.41,3424.66
2019-01-30,3423.49,3487.97,3400.2,3471.02
2019-01-31,3471.02,3497.73,3427,3450.66
2019-02-01,3450.66,3484.32,3405.99,3478.26
2019-02-04,3431.71,3461.41,3422.31,3436.43
2019-02-05,3436.43,3457.81,3424.66,3450.66
2019-02-06,3450.66,3463.8,3370.41,3395.59
2019-02-07,3396.74,3405.99,3379.52,3387.53
2019-02-08,3388.68,3738.32,3373.82,3657.64
2019-02-11,3654.97,3684.6,3615.33,3625.82
2019-02-12,3627.13,3649.64,3581.66,3616.64
2019-02-13,3616.64,3663,3591.95,3601.01
2019-02-14,3601.01,3617.95,3581.66,3594.54
2019-02-15,3594.54,3644.31,3581.66,3598.42
2019-02-18,3637.69,3938.56,3637.69,3895.6
2019-02-19,3897.12,4006.41,3881.99,3941.66
2019-02-20,3941.66,3992.02,3900.16,3961.97
2019-02-21,3961.97,4027.39,3907.78,3923.11
2019-02-22,3923.11,3995.21,3921.57,3969.83
2019-02-25,3790.75,3894.08,3763.64,3853.56
2019-02-26,3853.56,3863.99,3799.39,3831.42
2019-02-27,3831.42,3859.51,3703.7,3800.84
2019-02-28,3805.18,3915.43,3805.18,3829.95
2019-03-01,3829.95,3878.98,3824.09,3865.48
2019-03-04,3818.25,3838.77,3705.08,3724.39
2019-03-05,3723.01,3901.68,3716.09,3869.97
2019-03-06,3868.47,3906.25,3843.2,3886.51
2019-03-07,3886.51,3923.11,3868.47,3897.12
2019-03-08,3898.64,3943.22,3883.5,3933.91
2019-03-11,3935.46,3943.22,3853.56,3886.51
2019-03-12,3886.51,3910.83,3832.89,3898.64
2019-03-13,3898.64,3904.72,3861,3881.99
2019-03-14,3881.99,3924.65,3824.09,3885
2019-03-15,3885,3941.66,3883.5,3933.91
2019-03-18,4004.81,4048.58,3972.98,4009.62
2019-03-19,4009.62,4045.31,3985.65,4029.01
2019-03-20,4027.39,4070,4004.81,4063.39
2019-03-21,4063.39,4083.3,3957.26,4000
2019-03-22,4001.6,4019.29,3987.24,4000
2019-03-25,3990.42,4001.6,3889.54,3924.65
2019-03-26,3924.65,3944.77,3906.25,3933.91
2019-03-27,3935.46,4055.15,3933.91,4037.14
2019-03-28,4037.14,4060.09,4019.29,4035.51
2019-03-29,4035.51,4128.82,4033.88,4101.72
2019-04-01,4115.23,4171.88,4079.97,4154.55
2019-04-02,4154.55,5060.73,4152.82,4805.38
2019-04-03,4805.38,5330.49,4805.38,5219.21
2019-04-04,5186.72,5260.39,4800.77,4943.15
2019-04-05,4945.6,5073.57,4889.98,5030.18
2019-04-08,5175.98,5341.88,5144.03,5288.21
2019-04-09,5291.01,5316.32,5157.3,5230.13
2019-04-10,5230.13,5464.48,5175.98,5296.61
2019-04-11,5296.61,5341.88,4987.53,5030.18
2019-04-12,5030.18,5115.09,4933.4,5068.42
2019-04-15,5117.71,5197.51,4965.24,5027.65
2019-04-16,5027.65,5232.86,5027.65,5216.48
2019-04-17,5216.48,5274.26,5192.11,5246.59
2019-04-18,5246.59,5321.98,5219.21,5305.04
2019-04-22,5282.62,5437.74,5265.93,5399.57
2019-04-23,5396.65,5621.14,5373.46,5580.36
2019-04-24,5580.36,5630.63,5390.84,5446.62
2019-04-25,5446.62,5524.86,5385.03,5411.26
2019-04-26,5399.57,5422.99,5035.25,5178.66
2019-04-29,5246.59,5293.81,5181.35,5238.34
2019-04-30,5238.34,5390.84,5208.33,5370.57
2019-05-01,5370.57,5443.66,5370.57,5405.41
2019-05-02,5405.41,5540.17,5393.74,5512.68
2019-05-03,5512.68,5910.17,5482.46,5793.74
2019-05-06,5854.8,5868.54,5685.05,5803.83
2019-05-07,5807.2,6064.28,5797.1,5995.2
2019-05-08,5995.2,6016.85,5787.04,5988.02
2019-05-09,5988.02,6180.47,5963.03,6153.85
2019-05-10,6157.64,6455.78,6142.51,6397.95
2019-05-13,7147.96,8103.73,6877.58,8071.03
2019-05-14,8077.54,8278.15,7639.42,7776.05
2019-05-15,7776.05,8244.02,7776.05,8136.7
2019-05-16,8130.08,8354.22,7692.31,7930.21
2019-05-17,7923.93,7942.81,6688.96,7158.2
2019-05-20,8084.07,8285,7593.01,8051.53
2019-05-21,8038.59,8103.73,7824.73,7993.61
2019-05-22,7993.61,8038.59,7645.26,7680.49
2019-05-23,7674.6,7917.66,7496.25,7892.66
2019-05-24,7898.89,8169.93,7800.31,8064.52
2019-05-27,8658.01,8936.55,8643.04,8818.34
2019-05-28,8818.34,8849.56,8576.33,8710.8
2019-05-29,8710.8,8764.24,8467.4,8665.51
2019-05-30,8665.51,9090.91,8045.05,8210.18
2019-05-31,8210.18,8460.24,8123.48,8431.7
2019-06-03,8710.8,8748.91,8340.28,8496.18
2019-06-04,8481.76,8481.76,7518.8,7530.12
2019-06-05,7468.26,7911.39,7468.26,7745.93
2019-06-06,7739.94,7867.82,7479.43,7745.93
2019-06-07,7739.94,8123.48,7716.05,7968.13
2019-06-10,7633.59,8058.02,7513.15,7949.13
2019-06-11,7949.13,8051.53,7733.95,7911.39
2019-06-12,7917.66,8257.64,7830.85,8156.61
2019-06-13,8149.96,8326.39,8077.54,8326.39
2019-06-14,8319.47,8453.09,8183.31,8410.43
2019-06-17,9041.59,9398.5,8976.66,9285.05
2019-06-18,9302.33,9460.74,8952.55,9009.01
2019-06-19,9017.13,9233.61,8960.57,9233.61
2019-06-20,9242.14,9606.15,9225.09,9523.81
2019-06-21,9523.81,9940.36,9487.67,9910.8
2019-06-24,10929,11099,10571,10953
2019-06-25,10941,11561,10941,11547
2019-06-26,11547,13812,11534,12407
2019-06-27,12469,13298,10331,10776
2019-06-28,10753,12330,10753,12315
2019-07-01,11274,11274,10020,10593
2019-07-02,10571,10929,9680.54,10695
2019-07-03,10695,11574,10672,11403
2019-07-04,11403,12063,11403,11587
2019-07-05,11574,11710,10799,11136
2019-07-08,11534,12330,11351,12330
2019-07-09,12346,12821,12121,12563
2019-07-10,12563,13175,11574,11947
2019-07-11,11947,12180,11001,11299
2019-07-12,11299,11779,11111,11628
2019-07-15,10661,10941,9900.99,10753
2019-07-16,10741,11050,9407.34,9643.2
